description,img_link,type,height,width,site_link,thumbnail
What is 'trancing' and why does it make my dog act so weird around ...,https://www.popsci.com/sites/popsci.com/files/styles/opengraph_1_91x1/public/images/2018/06/trancing_dog.jpg?itok=3o_t6wKv,jpg,630,1200,https://www.popsci.com/dog-plants-weird-trancing,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRTVNber1-10k6L9aPSYgWBitsiA_n4ma1D8Rbl8wkhidCS9wwFgw
Dogs | Know Your Meme,https://i.kym-cdn.com/entries/icons/facebook/000/010/346/gdggfjjgfjgfgg.jpg,jpg,600,600,https://knowyourmeme.com/memes/subcultures/dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS6zwsIOMUSmXmD25-0E49WIOVn2Y1YGx2e3k6jUdQoJkJslOz3
Dogs & Puppies,https://www.shelterluv.com/sites/default/files/animal_pics/5913/2018/11/02/10/20181102100149.png,png,1024,1024,https://www.hssc.org/pets/adoption/dogs-and-puppies,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTpCQ2uFv5701Y73a5mKFLPBLxgtyNg7xG1MMEZMOCHBAlwoJJYzQ
Akita (dog) - Wikipedia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Akita_Inu_dog.jpg/1200px-Akita_Inu_dog.jpg,jpg,801,1200,https://en.wikipedia.org/wiki/Akita_(dog),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTb4rjrRkXDKc41IPPeHfUrQpU_3Ww2IxjG58fmBPm76mIA3hrI0A
Dog receives kidney donation from one of her puppies - INSIDER,https://amp.thisisinsider.com/images/5be74eb348eb1208de02c802-750-562.jpg,jpg,562,750,https://www.thisisinsider.com/puppy-donates-kidney-to-mom-2018-11,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRjQn98s7gikKUsV9f0VCuYSMRHc5GsUyXyOwqGvUcyHtpC_qpG
Pets | American Apparel,http://s7d9.scene7.com/is/image/AmericanApparel/f997wb2_lapis?defaultImage=/notavail&$ProductGrid2.5_3$,,780,591,http://www.americanapparel.com/pets_cat3100001,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSzM_Z_gd_iHAdUYdjtJNQ7okilyuP9JOe2sFE6_Nrh69cL8ysqfw
Beauceball — Dog Tales Rescue and Sanctuary,https://static1.squarespace.com/static/55e48783e4b0b05d86d82227/t/5a4cf5dfe4966bb30837c470/1514993224115/IMG_0325.JPG,jpg,750,1000,http://www.dogtales.ca/beauceball/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS52rzYYBjp21OBw86rNFzeaAqsaiD5zjMMigqXh6Y-hOV7RJEJ
Dog Insurance | Nationwide Dog and Puppy Insurance Plans,https://www.petinsurance.com/images/VSSimages/consumer/v5/banner_dog_insurance.jpg,jpg,677,800,https://www.petinsurance.com/dog-insurance,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTyGMzMi2ZQdBIHQkdLbIrolWVePbaFhN-zMBbwhqKag26SVN3lDw
"Abused Dog Rescued with Shoelace Tied Around His Neck, 25 Pellets in ...",https://peopledotcom.files.wordpress.com/2018/08/screen-shot-2018-08-31-at-1-30-12-pm.png?crop=0px%2C200px%2C964px%2C506px&resize=1200%2C630,png,506,964,https://people.com/pets/abused-dog-neck-injuries-pellet-wounds/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_9m2Rs0vw8DA_39UHgo3UEvSKBL-kebaTFBBIpwAmeknBzdFA
Would Your Dog Eat You if You Died? Get the Facts.,https://news.nationalgeographic.com/content/dam/news/2017/06/23/domestic-dogs-gallery/01-domestic-dog-gallery.ngsversion.1520573409565.adapt.1900.1.jpg,jpg,1266,1900,https://news.nationalgeographic.com/2017/06/pets-dogs-cats-eat-dead-owners-forensics-science/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSEAKEbZDpJU_THVn6ihW39G3cH0ZVQguDU0N3gUv-ZIZuKxNFS
25+ Photos Of Dogs Before & After Their Adoption That Will Melt Your ...,https://static.boredpanda.com/blog/wp-content/uploads/2018/02/happy-dogs-before-after-adoption-79-5a9544efa99c9__880.jpg,jpg,493,880,https://www.boredpanda.com/happy-dogs-before-after-adoption/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYOYxL6YD9_IUj2qNdjndwK9ofLPoe1oH6PMaxCDi2uvNaxwNDng
Adopt a dog | Blue Cross,https://www.bluecross.org.uk/sites/default/files/styles/thumbnail_pet/public/pets/1105501/487764.jpg?itok=1hbaHDHH,jpg,520,783,https://www.bluecross.org.uk/rehome/dog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSamWX82Y9jdd9kBGu1mplIsQEqFyX9Rga-_uS_Boijfv4NHxQV
Chinese New Year: Meet the cutest dogs of Instagram in the Year of ...,http://im.rediff.com/getahead/2018/feb/16dogs-of-instagram1.jpg,jpg,586,670,http://www.rediff.com/getahead/report/specials-chinese-new-year-of-the-dog-cutest-dogs-of-instagram/20180216.htm,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6Mml6J1BC8pOUcYd3epf_ArDQlOBN6XZc2I0NZMPNEocEvfnp
Big Dog Names - Over 350 Awesome Ideas For Large Puppy Naming,https://ybxzcgnc7b-flywheel.netdna-ssl.com/wp-content/uploads/2017/11/big-dog.jpg,jpg,864,800,https://www.thelabradorsite.com/big-dog-names/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSA6f1kzKtKXcF8BfGeHzFsm6Of_I7AbaWQLuUmGTKvj_Ywm5YcZQ
Who's a good boy? Why 'dog-speak' is important for bonding with your ...,https://www.sciencedaily.com/images/2018/03/180306115803_1_540x360.jpg,jpg,360,540,https://www.sciencedaily.com/releases/2018/03/180306115803.htm,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQhnDljSjb2wAb-i86TxcL7nZfjFigxOv4GFBrGZY4Juv4puJ4_
"In A Nasty Divorce, Who Gets The Dog? | HuffPost Life",https://img.huffingtonpost.com/asset/5b1ac3fe1a00002700ce0fe3.jpeg?cache=Hd8SPMkjbL&ops=1910_1000,jpeg,1000,1910,https://www.huffpost.com/entry/who-gets-the-dog-in-a-divorce_n_5b16f62ae4b0599bc6ddeecd,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRazIccX6Urm8DpI8WzcZ0MH32_74CVdOBcUl37vIa7kRtB_CWY
"Ellen Degeneres Dog Toys, Beds & Collars | PetSmart",https://www.petsmart.com/on/demandware.static/Sites-PetSmart-Site/-/default/dw5611f25a/images/dog_loader_250x250.gif,gif,250,250,https://www.petsmart.com/featured-brands/ed-ellen-degeneres/dog/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_nrpOzmI00EIbhbE4YRGwlz4ndHVNJ-AjZRliM_hy31sOu9okCw
What is your dog?,https://www.what-dog.net/Images/faces2/scroll009.jpg,jpg,600,600,https://www.what-dog.net/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcREeDWHB3YXREjDMLJE-FuzOfs99uFqTgQEP_sy1kCS4ghmyvwzDw
Chinese Say 'No' to Dog Meat as Dog Ownership Grows | Time,https://timedotcom.files.wordpress.com/2016/09/gettyimages-101904705.jpg,jpg,2445,3658,http://time.com/4514305/china-dog-pets-meat/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSuW_NtiUBgu_Ssa6MfKRAHnAe4C51o9-xgIB6il4rccMdgvHrqwg
Beast - Home | Facebook,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=202825023077692,,960,960,https://www.facebook.com/beast.the.dog/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyctZIbdQu1gGY2HmUckhB1XkAIO1kHC1l_VY5JhY4wAw9GTjSVg
"Which are smarter, cats or dogs? We asked a scientist | PBS NewsHour",https://d3i6fh83elv35t.cloudfront.net/static/2018/04/cats-and-dogs_AdobeStock_84016419-1024x681.jpeg,jpeg,681,1024,https://www.pbs.org/newshour/science/which-are-smarter-cats-or-dogs-we-asked-a-scientist,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ7cK_qSeV9PE_F2PErgmfzBi2V8jCo9ZO3hrlOXYt17nalWpaV
Dog found in Little Orton 'beaten and set on fire' - BBC News,https://ichef.bbci.co.uk/news/660/cpsprodpb/126C9/production/_103256457_7da156d8-d2bc-4aec-8f1b-94ac56336ed7.jpg,jpg,371,660,https://www.bbc.com/news/uk-england-cumbria-45382807,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjlgS4aymY_n7VT4Rk_3EsvAZ3pz0PIDD2fFmSVtiwBy86ZpyRNQ
"Dog friendly fall events in Charlotte, NC. - CharlotteFive",https://www.charlottefive.com/wp-content/uploads/2018/09/inizio-pizza-fur-a-paws-pet-event-dog-photog-charlotte-3971.jpg,jpg,532,800,https://www.charlottefive.com/fall-events-with-dog/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQzADVB2m0_jiwUWn5TUPP33bEienu75WfLfVAk1i8gFbiUNlahjA
Adopt a Dog - Puppy Adoptions - Arizona Humane Society,https://petharbor.com/get_image.asp?RES=Detail&ID=A589430&LOCATION=AZHS1,asp,480,640,https://www.azhumane.org/adopt/find-a-pet/adopt-a-dog/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTANkaUHRlGoC1VWK-xi27QTiOaxioYCKLWjTnmaMNldLe7wU-C
The Heroic Dogs | Royal Canin,http://www.royalcanin.in/var/royalcanin/storage/images/subsidiaries/in/home/puppy-and-dog/the-dog/dogs-that-serve-man/rescue-dogs/389164-6-eng-GB/rescue-dogs_articleV3.png,png,350,1060,http://www.royalcanin.in/puppy-and-dog/the-dog/dogs-that-serve-man/rescue-dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQlQIr9tJ64stfFg39dPyeg9SS7D_5Nh-KgG9Kx6KKtbD6bsflh
Guiding Eyes for the Blind - Guide Dogs for People with Vision Loss,https://www.guidingeyes.org/wp-content/uploads/2017/10/2img_4261.jpg,jpg,511,511,https://www.guidingeyes.org/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGXYBPp0IuaQCQzAxjAjnGIoQIaP_dLxX3mKljh-GcyoHuJ8hDVQ
UX for Dogs,https://media.nngroup.com/media/editor/2018/03/26/columbo-vr.png,png,729,974,https://www.nngroup.com/articles/dog-ux/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGypBJonAzFGfDIwhjCR-6vGljkznZEL4Ej0o7wrOdTWyUil8D
