Title,Link,Description
Elephant - Wikipediahttps://en.wikipedia.org/wiki/Elephant,https://en.wikipedia.org/wiki/Elephant,Elephants are large mammals of the family Elephantidae and the order Proboscidea. Three species are currently recognised: the African bush elephant ...
"elephant | Description, Habitat, Scientific Names, Weight, & Facts ...https://www.britannica.com/animal/elephant-mammal",https://www.britannica.com/animal/elephant-mammal,"Oct 10, 2018 - Elephant, (family Elephantidae), largest living land animal, characterized by its long trunk (elongated upper lip and nose), columnar legs, and huge head with temporal glands and wide, flat ears. ... African elephants (Loxodonta africana) filmed in their natural habitat."
"Elephants - latest news, breaking stories and comment - The ...https://www.independent.co.uk/topic/Elephants",https://www.independent.co.uk/topic/Elephants,All the latest breaking news on Elephants. Browse The Independent's complete collection of articles and commentary on Elephants.
Elephant | Species | WWFhttps://www.worldwildlife.org/species/elephant,https://www.worldwildlife.org/species/elephant,"Elephants, the largest land mammals, still face being killed for their tusks. Help WWF's elephant conservation efforts to fight poaching, conflict and habitat ..."
The Elephant Corridor - Luxury hotel in Sigiriyawww.elephantcorridor.lk/,http://www.elephantcorridor.lk/,I had a lovely one night stay at the elephant corridor with my family.Beautiful Sceneries and great ambience to the place over viewing the Sigiriya rock .Friendly ...
12 Memorable Facts About Elephants | Mental Flossmentalfloss.com/article/86712/12-interesting-facts-about-elephants,http://mentalfloss.com/article/86712/12-interesting-facts-about-elephants,"Known for their strong family bonds and intelligence, elephants have fascinated humans across time and cultures. As the largest living land mammal, a male ..."
Which Elephant is Which? | Saint Louis Zoohttps://www.stlzoo.org/animals/abouttheanimals/.../asianelephant/whichelephantiswhic...,https://www.stlzoo.org/animals/abouttheanimals/mammals/asianelephant/whichelephantiswhich,"Raja. Date of birth: December 27, 1992 (born to Pearl at Saint Louis Zoo) Distinguishing characteristics: only male elephant at our zoo; biggest of our elephants: ..."
Elephant | Basic Facts About Elephants | Defenders of Wildlifehttps://defenders.org/elephant/basic-facts,https://defenders.org/elephant/basic-facts,Habitat loss is one of the key threats facing elephants. Many climate change projections indicate that key portions of elephants' habitat will become significantly ...
African Elephant | African Wildlife Foundationhttps://www.awf.org/wildlife-conservation/elephant,https://www.awf.org/wildlife-conservation/elephant,"Africa's savanna elephant populations are dwindling as a result of the demand for their ivory tusks. Find out how AWF is fighting the killing, trafficking, and ..."
African elephants | WWFwwf.panda.org › Knowledge Hub › Priority Species › Elephants › African elephants,http://wwf.panda.org/what_we_do/endangered_species/elephants/african_elephants/,"Elephants continue to roam across much of Africa, but these magnificent animals remain under severe threat from poaching, habitat loss, and human-wildlife ..."
The unique elephant brain | Earth | EarthSkyhttps://earthsky.org/earth/elephants-unique-brain-neurons,https://earthsky.org/earth/elephants-unique-brain-neurons,"Aug 12, 2018 - Today is World Elephant Day. Here's a look at how unique brain structures - different from those of any other mammal - are responsible for ..."
The Elephant Listening Projectwww.birds.cornell.edu/brp/elephant/,http://www.birds.cornell.edu/brp/elephant/,"WHAT WE COULDN'T HEAR WAS ALWAYS THERE. Elephants use a variety of calls to express emotion, keep in touch, and pass on other information."
"Elephants, Rhinos & People Protect Wildlife | SAP Best Run Storyhttps://discover.sap.com/best-run/en-us/customer-erp/index.html",https://discover.sap.com/best-run/en-us/customer-erp/index.html,"Elephants, Rhinos & People (ERP) is using drones and determination to protect wildlife in southern Africa. Read how SAP IoT technology helps them do it."
BBC - Earth - Dwarf elephant beats up big rivalwww.bbc.com/earth/story/20150107-dwarf-elephant-beats-up-large-rival,http://www.bbc.com/earth/story/20150107-dwarf-elephant-beats-up-large-rival,"Jan 6, 2015 - Elephant researcher Shermin de Silva, Director of the Uda Walawe Elephant Research Project, and her colleagues, reported their encounters ..."
Elephant Genome Project | Broad Institutehttps://www.broadinstitute.org/elephant/elephant-genome-project,https://www.broadinstitute.org/elephant/elephant-genome-project,"The elephant is an extraordinary animal — the largest land animal today, living up to 70 years, and weighing up to 12,000 kg. Due to hunting and habitat ..."
Elephant Cooperation - Awareness of the Plight of the African Elephant.https://www.elephantcooperation.com/,https://www.elephantcooperation.com/,Raising Awareness of the Plight of the African Elephant.
Elephant | Kruger National Park | South Africawww.krugerpark.co.za/africa_elephant.html,http://www.krugerpark.co.za/africa_elephant.html,"The Elephant is the world's largest land mammal, and weighs up to 7 tonnes and reaches heights of 3.3 m at the shoulder. Elephants can live to a potential age ..."
Elephant (2003) - IMDbhttps://www.imdb.com/title/tt0363589/,https://www.imdb.com/title/tt0363589/,Alex Frost at an event for Elephant (2003) John Robinson at an event for Elephant (2003) Alex Frost at an event for Elephant (2003) Alicia Miles and John ...
Elephant Paradehttps://www.elephantparade.com/,https://www.elephantparade.com/,"Created by artists and celebrities, each Elephant Parade statue is a unique art piece. The life-size, baby elephant statues are exhibited in international cities and ..."
Elephant - NeuralEnsembleneuralensemble.org/elephant/,http://neuralensemble.org/elephant/,"Elephant (Electrophysiology Analysis Toolkit) is an open-source, community centered library for the analysis of electrophysiological data in the Python ..."
Watch How Scavengers Break Down an Elephant Carcasshttps://www.nationalgeographic.com/.../news-largest-animals-die-ecosystem-elephant-...,https://www.nationalgeographic.com/science/2018/09/news-largest-animals-die-ecosystem-elephant-whale-video/,"Sep 10, 2018 - An African elephant can weigh up to seven tons and can live for 70 years. When one of these behemoths dies, it is mourned. Worn paths ..."
ELEPHANT.art - Life Through Art - Contemporary Art and Visual Culturehttps://elephant.art/,https://elephant.art/,"Founded in 2009, Elephant.art is the definitive guide to contemporary art and visual culture. Elephant aims to survey the international contemporary art scene ..."
